,Walk Time,Bike Time,Bus Time
101,41542.277,10833.746,12435.0
102,10000000.0,17520.628,22275.0
103,10000000.0,24292.07,12195.0
104,10000000.0,51549.527,47475.0
105,46805.871,12032.502,10935.0
106,46541.613,11905.696,9255.0
107,97620.57,25610.23,12075.0
108,19404.533,9735.039,10000000.0
109,79818.156,20998.445,10000000.0
110,10000000.0,47583.457,10000000.0
111,37834.847,9454.106,10000000.0
112,27377.839,6274.096,10000000.0
113,48069.832,12367.212,11475.0
114,43876.113,12096.373,7155.0
115,46126.156,12399.854,10000000.0
116,49317.714,12623.014,6435.0
117,89880.687,29769.449,10000000.0
118,37190.078,9276.146,10000000.0
119,35239.218,8600.527,13515.0
120,49284.679,12077.223,10000000.0
121,39103.359,9163.798,10000000.0
122,41920.91,10093.789,10000000.0
123,28245.775,7044.758,9375.0
124,34860.597,8049.384,5655.0
125,33532.863,8768.85,12795.0
126,10000000.0,21416.046,17355.0
127,42675.867,10694.087,10000000.0
128,36275.91,8458.546,10000000.0
129,10000000.0,25395.765,10000000.0
130,27661.097,6592.23,14475.0
131,10000000.0,23781.718,10000000.0
132,39516.757,10426.545,10875.0
133,37401.324,9180.073,12615.0
134,10000000.0,25124.437,11955.0
135,38270.265,9108.952,10000000.0
136,10000000.0,23083.179,14535.0
137,10000000.0,17543.558,10000000.0
138,38135.312,8842.799,10000000.0
139,10000000.0,27765.96,10995.0
140,38504.484,10862.541,12495.0
141,10000000.0,24993.767,10000000.0
142,10000000.0,18251.824,10000000.0
143,44022.136,10485.019,10000000.0
144,10000000.0,49149.441,46695.0
145,40796.933,10572.904,10000000.0
146,10000000.0,45641.433,47415.0
147,100878.39,26259.48,10000000.0
148,31020.037,7414.369,10000000.0
149,108087.062,23631.699,14955.0
150,10000000.0,49547.359,47655.0
151,45420.082,11696.764,10335.0
152,89037.578,25727.511,10000000.0
153,40306.355,9959.136,13035.0
154,54377.73,13814.393,10000000.0
155,38368.91,9917.69,14235.0
156,35273.21,9089.928,6675.0
157,95335.218,25609.546,15675.0
158,10000000.0,46797.859,10000000.0
159,10000000.0,21960.636,10000000.0
160,36790.402,9103.759,5355.0
161,10000000.0,20067.265,10000000.0
162,25930.714,10832.443,10000000.0
163,55785.671,13795.75,11295.0
164,81612.757,22770.119,10000000.0
165,50874.562,12874.562,10000000.0
166,52153.644,12533.409,10000000.0
167,10000000.0,43767.281,10000000.0
168,10000000.0,50547.343,10000000.0
169,46948.226,12186.941,9915.0
