,Total Jobs,Jobs Earning at or Under 1250$/month,Jobs Earning Between 1251$ and 3333/month,Jobs Earning Over 3333$/month,No Tax Commute Cost,No Tax Commute Time,Full Tax Commute Time,Full Tax Commute Cost,Half Tax Commute Cost,Half Tax Commute Time
86,1,0,1,0,3382.847741153305,1529.4582505729854,1529.4582505729854,3382.847741153305,3382.847741153305,1529.4582505729854
87,1,0,1,0,3711.505998140753,1855.4152056831092,1855.4152056831092,3711.505998140753,3711.505998140753,1855.4152056831092
88,1,0,0,1,12969.430090149901,24180.088816386204,15013.671736404152,11782.310030695973,12969.430090149901,24180.088816386204
89,1,0,1,0,2034.7564439239259,1068.5312654553195,1068.5312654553195,2034.7564439239259,2034.7564439239259,1068.5312654553195
90,1,0,1,0,3006.8877728683065,1666.1116658939695,1666.1116658939695,3006.8877728683065,3006.8877728683065,1666.1116658939695
91,1,0,0,1,3405.354292074444,1653.519802342998,1653.519802342998,3405.354292074444,3405.354292074444,1653.519802342998
92,1,0,1,0,2602.6696272266486,1445.5683931254264,1445.5683931254264,2602.6696272266486,2602.6696272266486,1445.5683931254264
93,1,0,0,1,4186.382207637907,2117.622925492915,2117.622925492915,4186.382207637907,4186.382207637907,2117.622925492915
94,1,0,1,0,2836.9152834553934,1483.2572279930796,1483.2572279930796,2836.9152834553934,2836.9152834553934,1483.2572279930796
95,1,1,0,0,2784.090265874903,1346.5338626401708,1346.5338626401708,2784.090265874903,2784.090265874903,1346.5338626401708
96,1,1,0,0,2768.924935183182,1333.156566736006,1333.156566736006,2768.924935183182,2768.924935183182,1333.156566736006
97,1,0,0,1,2415.4234763314403,1334.117980687544,1334.117980687544,2415.4234763314403,2415.4234763314403,1334.117980687544
98,1,0,1,0,12939.43269690677,24126.52475665765,14958.52150834257,11716.46135485117,12939.43269690677,24126.52475665765
99,1,0,0,1,3543.6233062474384,1825.228337936439,1825.228337936439,3543.6233062474384,3543.6233062474384,1825.228337936439
100,1,1,0,0,2391.5222760980555,1283.1209548845313,1283.1209548845313,2391.5222760980555,2391.5222760980555,1283.1209548845313
101,1,0,0,1,2604.0533072213248,1319.110351795273,1319.110351795273,2604.0533072213248,2604.0533072213248,1319.110351795273
102,1,0,0,1,8322.229390956549,4137.955828657907,4137.955828657907,8322.229390956549,8322.229390956549,4137.955828657907
103,1,1,0,0,6754.736924837097,3409.281906421067,3409.281906421067,6754.736924837097,6754.736924837097,3409.281906421067
104,1,0,0,1,12793.052461263354,6759.9904930403945,6249.310030560053,11585.493145691602,12793.052461263354,6759.9904930403945
105,1,0,0,1,3204.2681491859435,1503.9885433643196,1503.9885433643196,3204.2681491859435,3204.2681491859435,1503.9885433643196
106,1,0,0,1,3116.771139757028,1413.799330553294,1413.799330553294,3116.771139757028,3116.771139757028,1413.799330553294
107,1,0,1,0,6187.576838684137,3094.819281293124,3094.819281293124,6187.576838684137,6187.576838684137,3094.819281293124
108,1,0,0,1,9843.523065348685,4995.4812197945,4995.4812197945,8948.733423686168,9843.523065348685,4995.4812197945
109,1,0,0,1,5147.856296866604,2508.538898644847,2508.538898644847,5147.856296866604,5147.856296866604,2508.538898644847
110,1,0,0,1,11590.517024803044,4984.622555727694,4974.284124132202,10516.665112170733,11590.517024803044,4984.622555727694
111,1,0,1,0,2473.02956375388,1406.3343259336211,1406.3343259336211,2473.02956375388,2473.02956375388,1406.3343259336211
112,1,0,1,0,2065.9704137834037,1177.4991153565913,1177.4991153565913,2065.9704137834037,2065.9704137834037,1177.4991153565913
113,1,0,0,1,3146.00202647153,1486.2858017928415,1486.2858017928415,3146.00202647153,3146.00202647153,1486.2858017928415
114,1,1,0,0,3378.5310131312744,1655.7030226369782,1655.7030226369782,3378.5310131312744,3378.5310131312744,1655.7030226369782
115,1,1,0,0,3288.5519403519966,1683.180438897668,1683.180438897668,3288.5519403519966,3288.5519403519966,1683.180438897668
116,1,0,0,1,3383.1577481856516,1527.2481012001463,1527.2481012001463,3383.1577481856516,3383.1577481856516,1527.2481012001463
117,1,0,0,1,5620.379965838982,2875.4078050724133,2875.4078050724133,5620.379965838982,5620.379965838982,2875.4078050724133
118,1,0,0,1,3146.55855569863,1521.3496908440777,1521.3496908440777,3146.55855569863,3146.55855569863,1521.3496908440777
119,1,0,0,1,2858.1439298583127,1459.2653834103814,1459.2653834103814,2858.1439298583127,2858.1439298583127,1459.2653834103814
120,1,0,0,1,3385.9458925606773,1972.2590483521042,1910.0398789478277,3387.23904598564,3385.9458925606773,1972.2590483521042
121,1,0,0,1,2768.8267176351483,1357.8690290911024,1357.8690290911024,2768.8267176351483,2768.8267176351483,1357.8690290911024
122,1,0,1,0,3374.769762043964,1604.2603874519596,1604.2603874519596,3374.769762043964,3374.769762043964,1604.2603874519596
123,1,0,0,1,2018.3867883752516,1178.8614849463122,1178.8614849463122,2018.3867883752516,2018.3867883752516,1178.8614849463122
124,1,1,0,0,2231.3707290776388,1220.923961725639,1220.923961725639,2231.3707290776388,2231.3707290776388,1220.923961725639
125,1,0,0,1,2695.2827982570166,1337.338277931804,1337.338277931804,2695.2827982570166,2695.2827982570166,1337.338277931804
126,1,1,0,0,7294.833085028522,3645.276579255632,3645.276579255632,7294.833085028522,7294.833085028522,3645.276579255632
127,1,0,0,1,3256.0892244389047,1760.7863106062714,1760.7863106062714,3256.0892244389047,3256.0892244389047,1760.7863106062714
128,1,0,0,1,2611.069155872977,1294.962151756137,1294.962151756137,2611.069155872977,2611.069155872977,1294.962151756137
129,1,0,0,1,7127.792275828833,3478.6640464737225,3478.6640464737225,7127.792275828833,7127.792275828833,3478.6640464737225
130,1,0,0,1,2034.7881838877022,1093.4155877922826,1093.4155877922826,2034.7881838877022,2034.7881838877022,1093.4155877922826
131,1,1,0,0,6347.232575561334,3151.8670059904343,3151.8670059904343,6347.232575561334,6347.232575561334,3151.8670059904343
132,1,0,1,0,3250.8205280368925,1513.702313953508,1513.702313953508,3250.8205280368925,3250.8205280368925,1513.702313953508
133,1,0,0,1,2963.864926948186,1510.7008125943757,1510.7008125943757,2963.864926948186,2963.864926948186,1510.7008125943757
134,1,0,0,1,7067.146141208166,3530.156957964125,3530.156957964125,7067.146141208166,7067.146141208166,3530.156957964125
135,1,0,0,1,2852.9501853753145,1403.1431190366877,1403.1431190366877,2852.9501853753145,2852.9501853753145,1403.1431190366877
136,1,1,0,0,6430.864723708257,3162.5272153026563,3162.5272153026563,6430.864723708257,6430.864723708257,3162.5272153026563
137,1,0,0,1,7745.837707131083,3775.9462638400882,3775.9462638400882,7745.837707131083,7745.837707131083,3775.9462638400882
138,1,0,0,1,2785.9679643030327,1374.914937135712,1374.914937135712,2785.9679643030327,2785.9679643030327,1374.914937135712
139,1,1,0,0,7686.92364512725,3784.204804765183,3784.204804765183,7686.92364512725,7686.92364512725,3784.204804765183
140,1,0,0,1,3001.484536524547,1543.697635637694,1543.697635637694,3001.484536524547,3001.484536524547,1543.697635637694
141,1,0,1,0,8091.283405212151,4098.257412225704,4098.257412225704,8091.283405212151,8091.283405212151,4098.257412225704
142,1,1,0,0,7242.795839224422,3554.282378059995,3554.282378059995,7242.795839224422,7242.795839224422,3554.282378059995
143,1,0,1,0,3212.8141808938576,1742.2921481217884,1742.2921481217884,3212.8141808938576,3212.8141808938576,1742.2921481217884
144,1,0,0,1,12794.190175078873,24106.033343031453,14903.210921658083,11625.056000171979,12794.190175078873,24106.033343031453
145,1,0,0,1,2963.4411574279093,1444.832275314599,1444.832275314599,2963.4411574279093,2963.4411574279093,1444.832275314599
146,1,0,1,0,12548.43167041097,14033.449680215064,9925.035593707455,11405.5279193978,12548.43167041097,14033.449680215064
147,1,0,0,1,6393.523512829873,3260.0911106368076,3260.0911106368076,6393.523512829873,6393.523512829873,3260.0911106368076
148,1,0,1,0,2342.56444276123,1268.7849835799689,1268.7849835799689,2342.56444276123,2342.56444276123,1268.7849835799689
149,1,0,1,0,6586.435331070326,3229.1125081605624,3229.1125081605624,6586.435331070326,6586.435331070326,3229.1125081605624
